piece,square,is_white,period,count
bishop,g8,True,pre-ai,478
knight,g8,False,pre-ai,1018
bishop,b2,True,pre-ai,7593
knight,f1,False,pre-ai,749
bishop,b5,False,pre-ai,2979
rook,c4,False,pre-ai,2937
bishop,c4,False,pre-ai,3281
bishop,d2,False,pre-ai,2274
knight,h1,False,pre-ai,393
bishop,h5,False,pre-ai,2723
rook,h1,True,pre-ai,2890
bishop,f7,False,pre-ai,1505
rook,g1,True,pre-ai,6395
bishop,g2,True,pre-ai,9991
bishop,a5,False,pre-ai,1793
bishop,b1,False,pre-ai,575
knight,e1,True,pre-ai,1487
bishop,g2,False,pre-ai,2103
queen,c8,False,pre-ai,2623
rook,d3,True,pre-ai,3821
bishop,e1,False,pre-ai,632
rook,f3,True,pre-ai,3781
rook,b2,False,pre-ai,4259
queen,d8,False,pre-ai,4041
queen,e4,False,pre-ai,4338
pawn,h5,True,pre-ai,7247
queen,g4,False,pre-ai,3177
king,h1,True,pre-ai,8044
queen,c1,True,pre-ai,2205
queen,b2,True,pre-ai,1713
rook,f6,False,pre-ai,3434
queen,b6,True,pre-ai,1663
rook,d6,False,pre-ai,3358
rook,c6,False,pre-ai,2478
bishop,c8,False,pre-ai,2468
queen,a3,True,pre-ai,1219
rook,d2,True,pre-ai,5111
rook,c2,True,pre-ai,3262
king,b1,True,pre-ai,3860
queen,b5,True,pre-ai,3013
queen,a6,True,pre-ai,1788
queen,g6,False,pre-ai,3551
queen,f3,False,pre-ai,3016
queen,d1,False,pre-ai,2743
king,a2,True,pre-ai,1199
rook,b3,True,pre-ai,1914
queen,g1,False,pre-ai,989
knight,c6,True,pre-ai,5537
queen,c7,False,pre-ai,10127
queen,e1,False,pre-ai,1787
knight,h4,True,pre-ai,3759
king,h8,False,pre-ai,7505
bishop,d1,False,pre-ai,931
rook,d4,False,pre-ai,3403
rook,f3,False,pre-ai,2593
queen,f2,False,pre-ai,2914
knight,b1,True,pre-ai,981
knight,b3,True,pre-ai,3769
queen,b4,True,pre-ai,2247
bishop,a3,False,pre-ai,1774
rook,c8,True,pre-ai,2813
queen,b4,False,pre-ai,3276
queen,a3,False,pre-ai,1879
bishop,c1,True,pre-ai,2051
knight,a5,True,pre-ai,1177
bishop,c7,True,pre-ai,1363
queen,b1,False,pre-ai,1186
knight,d8,False,pre-ai,1085
knight,a1,False,pre-ai,807
king,b2,True,pre-ai,2715
queen,c1,False,pre-ai,1593
queen,c2,False,pre-ai,2676
king,a4,True,pre-ai,1044
queen,e8,True,pre-ai,1782
bishop,h5,True,pre-ai,1619
bishop,g4,True,pre-ai,2767
rook,b5,False,pre-ai,1729
rook,c7,True,pre-ai,4404
bishop,b6,False,pre-ai,3179
knight,f5,True,pre-ai,5078
queen,a5,True,pre-ai,1585
rook,d5,True,pre-ai,3482
queen,c8,True,pre-ai,1559
knight,c8,False,pre-ai,783
king,b6,False,pre-ai,2769
pawn,f2,False,pre-ai,1092
king,a5,False,pre-ai,1020
king,a4,False,pre-ai,891
knight,f4,False,pre-ai,5179
queen,h6,True,pre-ai,2846
bishop,a7,True,pre-ai,855
knight,d1,True,pre-ai,1200
rook,g5,True,pre-ai,1854
rook,g2,True,pre-ai,1806
queen,g6,True,pre-ai,2652
queen,g2,True,pre-ai,1620
queen,f2,True,pre-ai,3130
rook,e6,False,pre-ai,3683
bishop,d3,False,pre-ai,3395
knight,e6,False,pre-ai,3453
king,d5,True,pre-ai,2221
bishop,g6,False,pre-ai,3724
queen,b7,False,pre-ai,2126
bishop,b7,True,pre-ai,1783
bishop,f5,True,pre-ai,3267
knight,a3,False,pre-ai,559
knight,d8,True,pre-ai,841
king,a7,False,pre-ai,1240
knight,b8,True,pre-ai,272
rook,b1,False,pre-ai,2069
bishop,c8,True,pre-ai,663
knight,b1,False,pre-ai,248
knight,h4,False,pre-ai,1361
rook,a2,False,pre-ai,4184
rook,a6,False,pre-ai,1812
pawn,h3,False,pre-ai,2540
pawn,h2,False,pre-ai,1164
rook,a5,False,pre-ai,1759
knight,d6,False,pre-ai,2998
bishop,h1,False,pre-ai,439
bishop,h2,True,pre-ai,784
knight,c5,False,pre-ai,6762
bishop,f3,True,pre-ai,6445
knight,g4,True,pre-ai,2617
king,f6,False,pre-ai,7850
bishop,h4,False,pre-ai,1912
rook,f7,False,pre-ai,4519
pawn,d3,False,pre-ai,3662
rook,h3,False,pre-ai,1852
rook,f5,True,pre-ai,2475
pawn,g2,False,pre-ai,1177
pawn,g1,False,pre-ai,521
bishop,e1,True,pre-ai,1183
queen,d1,True,pre-ai,3310
bishop,e2,False,pre-ai,2294
rook,b2,True,pre-ai,1982
rook,e2,True,pre-ai,4798
knight,c1,False,pre-ai,725
king,c4,False,pre-ai,2121
knight,d7,True,pre-ai,2353
king,f5,False,pre-ai,4256
king,h4,False,pre-ai,1336
rook,c4,True,pre-ai,2226
king,e5,False,pre-ai,4157
rook,c5,True,pre-ai,2578
rook,h2,True,pre-ai,1229
rook,h4,True,pre-ai,1668
knight,c4,True,pre-ai,6121
knight,a7,False,pre-ai,482
queen,g3,True,pre-ai,4527
queen,g8,True,pre-ai,1154
queen,c5,False,pre-ai,4258
knight,b6,True,pre-ai,1853
